数据库表（TH开头为泰国数据表）     
------------------------------ ------------------------------------------------------------ 
TH_TO_HOPE_SALES_ORDER_ITEM    	泰国直发客户录单明细信息表                                                  
TH_VENDOR                      			泰国供应商或船公司信息0=船公司,1=空运,2,陆运，3=报关行,4=货代                          
TH_WATER_BILL                  			泰国水单维护                                                       
TH_WATER_BILL_LOG              		泰国水单维护日志                                                     
                                                 














 
 






 


 
 
